"task_id","phase","priority","title","source_section","change_type","primary_files","depends_on","scope","non_breaking_constraints","ui_safeguards","validation_commands","manual_regression","acceptance_criteria","pr_size_limit","rollback_notes"
"AUI-000","Phase 0 - Guardrails","P0","建立架构与 UI 优化执行检查清单","维护约定; 验证策略; 非目标","docs/process","docs/developer/architecture-ui-optimization-plan.md; docs/developer/architecture-ui-optimization-tasks.csv","","为后续每个优化 PR 固化执行模板：改动层级、平台影响、Shadow DOM/主题影响、验证命令、手动回归点。","只补文档和流程；不修改运行时代码；不改变构建脚本；不把多个实现任务合并到同一 PR。","所有 UI 任务必须声明目标界面、适用 DESIGN.md 章节、主题与 Shadow DOM 注入链路。","python -c ""import csv; rows=list(csv.DictReader(open('docs/developer/architecture-ui-optimization-tasks.csv', encoding='utf-8-sig'))); assert rows""","确认 CSV 可被表格工具打开；确认每个任务都有验证与回滚说明。","后续任务都能按 CSV 独立开 PR；每项任务具备不破坏功能与 UI 的检查项。","文档新增或小幅更新；不超过 1 个文档 PR。","如流程不适用，直接 revert 文档改动，不影响产品代码。"
"AUI-001","Phase 1 - Low risk fixes","P1","给 SettingsModal 补 dialog 语义","第一阶段/1. 补强设置弹窗可访问性","ui/accessibility","src/components/SettingsModal.tsx; src/styles/settings.css","AUI-000","为设置弹窗容器增加 role=""dialog""、aria-modal、aria-labelledby；补稳定标题 id；不改弹窗布局。","不得改变 onClose 触发条件；不得改变现有设置页路由、activePage、initialSubTab 和 locateRequest 行为；不得重命名现有 class。","视觉保持像素级接近；仅增加语义属性和必要焦点样式；浅色/深色主题下关闭、最大化、侧栏导航保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开设置弹窗；点击遮罩关闭；点击关闭按钮关闭；按 Escape 关闭；切换设置页面；最大化/还原；浅色和深色主题各检查一次。","屏幕阅读器能识别设置弹窗为 dialog；标题可被 aria-labelledby 关联；现有设置操作无行为变化。","只改 SettingsModal 语义与少量样式；不拆组件。","如发现 UI 或关闭行为异常，revert 本 PR 即可恢复原弹窗行为。"
"AUI-002","Phase 1 - Low risk fixes","P1","给 SettingsModal 增加焦点陷阱与关闭后焦点恢复","第一阶段/1. 补强设置弹窗可访问性","ui/accessibility","src/components/SettingsModal.tsx; src/hooks/useFocusTrap.ts(optional)","AUI-001","打开设置时聚焦标题或第一个可操作控件；Tab/Shift+Tab 限制在弹窗内；关闭后恢复到触发元素。","不得拦截输入框内正常 Tab 以外的编辑行为；不得影响全局快捷键恢复；不得引入第三方依赖。","焦点环使用现有 focus-visible 风格；不新增遮罩动画；焦点恢复失败时只 warn，不阻断关闭。","pnpm format:check; pnpm lint:check; pnpm typecheck","键盘打开设置；连续 Tab 到末尾回到开头；Shift+Tab 反向循环；在输入框内编辑；关闭后焦点回到设置按钮；验证全局搜索快捷键不被永久吞掉。","键盘用户可完整操作设置弹窗且焦点不逃逸；鼠标操作行为不变。","最多新增一个小 hook；不迁移设置页结构。","如焦点循环影响输入或快捷键，先禁用 focus trap hook 并保留 AUI-001 语义改动。"
"AUI-003","Phase 1 - Low risk fixes","P1","给主面板 tabs 补 tablist/tab/tabpanel 语义","第一阶段/2. 补强主面板 tab 语义与键盘切换","ui/accessibility","src/components/MainPanel.tsx; src/style.css","AUI-000","为 gh-panel-tabs 增加 role=""tablist""；为 tab button 增加 role=""tab""、aria-selected、aria-controls、id；内容区增加 role=""tabpanel""。","不得改变 activeTab 状态来源；不得改变 visibleTabs、tabOrder、拖拽排序和点击切换逻辑；不得重命名现有 class。","active 样式保持不变；focus-visible 样式沿用现有 gh-panel-tab-btn；不同面板宽度下不新增换行或溢出。","pnpm format:check; pnpm lint:check; pnpm typecheck","点击切换大纲/会话/提示词 tab；拖拽排序 tab；折叠/展开面板；左右停靠；浅色和深色主题检查 active 与 hover 状态。","当前 tab 可被 aria-selected 表达；tabpanel 与 tab 正确关联；现有点击和拖拽行为不变。","只补语义属性和必要 id；不重构 MainPanel。","如 tab 渲染或拖拽异常，revert 本 PR 可恢复原按钮结构。"
"AUI-004","Phase 1 - Low risk fixes","P1","给主面板 tabs 增加键盘导航","第一阶段/2. 补强主面板 tab 语义与键盘切换","ui/interaction","src/components/MainPanel.tsx","AUI-003","支持 ArrowLeft/ArrowRight、Home、End 在可见 tab 间切换；不改变鼠标点击和拖拽排序。","仅在 tab 按钮获得焦点时处理方向键；不得影响页面滚动、输入框、全局快捷键；不得改变 tabOrder 存储。","键盘切换后焦点留在对应 tab；不触发额外动画；折叠/边缘悬停状态下不强制展开面板。","pnpm format:check; pnpm lint:check; pnpm typecheck","用键盘切换 3 个 tab；自定义 tab 顺序后再切换；隐藏某个 tab 后再切换；确认输入框内方向键仍用于移动光标。","键盘可切换所有可见 tab；不会影响其它快捷键和拖拽排序。","只改 tab 键盘事件；不拆 MainPanel。","如快捷键冲突，移除 onKeyDown 即可回滚到点击切换。"
"AUI-005","Phase 1 - Low risk fixes","P1","将 WebDAVProvider 移到共享类型文件","第一阶段/3. 修正设置类型边界","refactor/types","src/types/settings.ts or src/types/webdav.ts; src/utils/storage.ts; src/core/webdav-sync.ts","AUI-000","移动 WebDAVProvider 等纯类型，消除 utils/storage 对 core/webdav-sync 的 type-only 依赖。","不得改变 WebDAV 运行时代码、备份格式、Settings 字段名、默认值；不得修改存储 key。","不改 WebDAV 设置 UI 文案、布局和表单行为。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开 WebDAV 设置页；确认 provider 选择、保存、显示状态不变；不需要实际连接远端服务。","typecheck 通过；utils 层不再引用 core/webdav-sync；产物行为无变化。","纯类型移动；不做 settings 拆分。","如出现类型或导入问题，恢复原类型导出位置。"
"AUI-006","Phase 1 - Low risk fixes","P1","让 subscribeModuleUpdates 返回 unsubscribe","第一阶段/4. 为核心订阅和 URL 监听增加 cleanup","refactor/core-lifecycle","src/core/modules-init.ts; src/contents/main.ts; src/platform/userscript/entry.tsx","AUI-000","将设置订阅函数返回取消订阅函数；初始化入口保存 disposer；不改变任何模块 update 逻辑。","不得改变 settings 热更新顺序；不得移除现有模块更新分支；不得改变用户设置写入和跨上下文同步。","主题切换、布局设置、面板避让、模型锁定等设置变化后 UI 必须即时更新。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","修改主题；修改面板宽度；切换 Zen/Clean Mode；切换模型锁定；确认无需刷新即可生效。","现有热更新行为不变；调用方可在卸载时取消订阅。","只改订阅返回值和调用方保存；不拆 modules-init。","如设置热更新异常，恢复 subscribeModuleUpdates 原返回 void 实现。"
"AUI-007","Phase 1 - Low risk fixes","P1","让 initUrlChangeObserver 返回 cleanup","第一阶段/4. 为核心订阅和 URL 监听增加 cleanup","refactor/core-lifecycle","src/core/modules-init.ts; src/contents/main.ts; src/platform/userscript/entry.tsx","AUI-006","URL observer 返回 cleanup，负责移除 popstate/hashchange、恢复 history patch、清理 interval 和 pending timeout。","不得改变 URL 变化事件派发；不得改变阅读历史恢复延迟；不得改变 tabManager、usageCounter、modelLocker 的 URL change 行为。","SPA 切换新对话后大纲、会话标题、使用量计数、阅读历史恢复保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build; pnpm build:userscript","在 ChatGPT/Gemini/Claude 任一站点切换会话；浏览器后退/前进；新对话；确认大纲刷新、标题更新、阅读历史恢复和计数面板正常。","功能行为不变；初始化入口具备完整 URL observer 清理路径。","只补 cleanup；不改 URL change 业务逻辑。","如 SPA 导航失效，恢复原 patch 和 interval 逻辑。"
"AUI-008","Phase 1 - Low risk fixes","P2","替换高风险 transition: all","第一阶段/5. 替换高风险 transition: all","ui/css","src/style.css; src/styles/*.css","AUI-000","逐个样式域将 transition: all 改为明确属性；每个 PR 只处理一个样式域。","不得改变 class 名、CSS 变量名、主题 fallback；不得引入新的强动画；不得改布局尺寸。","处理前后截图对比；浅色/深色主题、hover、active、focus-visible、disabled 状态保持一致。","pnpm format:check; pnpm lint:check; pnpm typecheck","检查面板按钮、tab、设置控件、快捷按钮、弹窗打开关闭；确认无闪烁、无状态丢失、无布局跳动。","目标样式域 transition: all 清零或显著减少；视觉行为基本一致。","每个 PR 只处理一个 CSS 文件或一个组件域；不混入视觉重设计。","如出现动效或布局回归，按样式域 revert。"
"AUI-009","Phase 1 - Low risk fixes","P2","补充 reduced motion 基础覆盖","UI 与交互专项建议/动效与 reduced motion","ui/css-accessibility","src/style.css; src/styles/settings.css; src/styles/queue-overlay.css","AUI-008","为强 transform、循环动画、自动滚动相关视觉效果补 prefers-reduced-motion: reduce 覆盖。","只在用户启用 reduced motion 时改变动画；默认动效不变；不得删除必要状态反馈。","reduced motion 下保留可见状态变化，例如 active、loading、disabled；不让用户失去操作反馈。","pnpm format:check; pnpm lint:check; pnpm typecheck","浏览器模拟 reduced motion；打开面板、设置、队列、快捷按钮；确认无强动画且状态仍清楚。","reduced motion 用户不再看到主要强动效；普通用户视觉不变。","只补 CSS media query；不改组件逻辑。","如 reduced motion 下状态不可见，恢复对应 media query 并重新设计状态反馈。"
"AUI-010","Phase 2 - Structure reduction","P1","从 App.tsx 抽出全局搜索常量和纯函数","第二阶段/6. 从 App.tsx 拆出全局搜索控制器","refactor/ui","src/components/App.tsx; src/components/global-search/*","AUI-000","先移动全局搜索 category、label、语法、过滤相关纯常量/纯函数；不移动状态和渲染。","不得改变搜索结果排序、过滤语法、快捷键、空态文案；不得新增 i18n key。","搜索浮层视觉、提示、预览位置保持不变。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开全局搜索；搜索设置、Prompt、Tips；使用过滤语法；确认结果和原行为一致。","App.tsx 行数下降；全局搜索结果行为无变化。","只移动纯代码；不改 UI 结构。","如搜索结果变化，恢复常量和纯函数到 App.tsx。"
"AUI-011","Phase 2 - Structure reduction","P1","从 App.tsx 抽出 useGlobalSearchController","第二阶段/6. 从 App.tsx 拆出全局搜索控制器","refactor/ui","src/components/App.tsx; src/components/global-search/useGlobalSearchController.ts","AUI-010","移动全局搜索状态、输入 debounce、键盘导航、预览延迟和 shortcut nudge 控制逻辑到 hook。","不得改变快捷键绑定、打开来源、搜索 debounce、预览延迟、localStorage nudge key；不得吞掉其它快捷键。","浮层打开位置、键盘高亮、Prompt 预览、空态、语法提示视觉不变。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","快捷键打开搜索；键盘上下选择；Enter 跳转；Esc 关闭；Prompt 预览；设置定位高亮；连续打开关闭。","全局搜索端到端行为不变；App.tsx 只保留挂载与回调。","只抽 hook；不改搜索 UI 样式。","如搜索交互回归，恢复控制逻辑到 App.tsx。"
"AUI-012","Phase 2 - Structure reduction","P1","从 PromptsTab.tsx 抽出 PromptEditorDialog","第二阶段/7. 拆分 PromptsTab.tsx","refactor/ui","src/components/PromptsTab.tsx; src/components/prompts/PromptEditorDialog.tsx","AUI-000","先抽出新增/编辑 Prompt 弹窗，保持 props 显式传入，不改变 store 和保存逻辑。","不得改变 Prompt 字段、保存/取消/删除行为、变量识别、分类选择；不得改变已有 i18n key。","弹窗尺寸、按钮顺序、表单 focus、错误提示、浅深主题保持不变。","pnpm format:check; pnpm lint:check; pnpm typecheck","新增 Prompt；编辑 Prompt；取消编辑；分类修改；变量 Prompt 保存；确认列表刷新和选中状态正常。","编辑弹窗独立组件化；Prompt CRUD 行为无变化。","只抽一个弹窗；不碰导入、预览、Chain。","如保存或表单状态异常，恢复弹窗代码到 PromptsTab。"
"AUI-013","Phase 2 - Structure reduction","P1","从 PromptsTab.tsx 抽出 PromptPreviewModal 和 ImportDialog","第二阶段/7. 拆分 PromptsTab.tsx","refactor/ui","src/components/PromptsTab.tsx; src/components/prompts/PromptPreviewModal.tsx; src/components/prompts/PromptImportDialog.tsx","AUI-012","拆出预览和导入弹窗；导入解析函数保持测试前后结果一致。","不得改变导入格式、错误处理、重复 Prompt 策略、预览 markdown 渲染；不得静默吞掉导入错误。","预览排版、滚动、关闭方式、导入确认流程保持一致。","pnpm format:check; pnpm lint:check; pnpm typecheck","预览普通 Prompt 和变量 Prompt；导入有效 JSON；导入无效 JSON；取消导入；确认错误提示清楚且不写入错误数据。","预览/导入弹窗独立；导入导出兼容旧数据。","只抽预览和导入；不改拖拽或 Chain。","如导入兼容性异常，恢复到原 PromptsTab 实现。"
"AUI-014","Phase 2 - Structure reduction","P1","从 PromptsTab.tsx 抽出 Prompt/Chain 拖拽排序 hook","第二阶段/7. 拆分 PromptsTab.tsx; UI 与交互专项建议/拖拽排序的非鼠标替代","refactor/ui-interaction","src/components/PromptsTab.tsx; src/components/prompts/usePromptDragSort.ts","AUI-013","将 Prompt 与 Chain 拖拽排序状态、drop indicator、清理逻辑抽成 hook；不改变排序算法。","不得改变拖拽数据结构、排序结果、分类内/跨分类移动行为；拖拽结束必须清理状态。","拖拽 hover、drop indicator、dragging 样式保持一致；键盘替代路径另开任务，不混入。","pnpm format:check; pnpm lint:check; pnpm typecheck","Prompt 同分类排序；跨分类移动；Chain 排序；拖拽取消；拖拽后刷新确认顺序持久化。","拖拽行为完全等价；PromptsTab 职责减少。","只抽 hook；不改 UI 文案或布局。","如排序错乱，恢复原拖拽逻辑。"
"AUI-015","Phase 2 - Structure reduction","P1","拆分 Settings 类型与默认值","第二阶段/8. 拆分 settings schema、默认值、normalize 和 selector","refactor/settings","src/types/settings.ts; src/constants/default-settings.ts; src/utils/storage.ts","AUI-005","移动 Settings 相关类型和 DEFAULT_SETTINGS 到独立文件；utils/storage 保持兼容 re-export。","不得改变 DEFAULT_SETTINGS 的任何值；不得改变导出名称；不得改变持久化 key 和备份 schema。","设置页默认值、重置设置、站点特定设置显示保持一致。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","打开设置页；重置设置；切换主题；检查面板默认位置/宽度；确认无默认值漂移。","类型和默认值独立；旧 import 仍可工作或一次性安全迁移。","只移动类型和默认值；不改 normalize。","如默认值或导入异常，恢复 DEFAULT_SETTINGS 到 utils/storage。"
"AUI-016","Phase 2 - Structure reduction","P1","拆分 settings normalize 和 site selectors","第二阶段/8. 拆分 settings schema、默认值、normalize 和 selector","refactor/settings","src/utils/settings-normalize.ts; src/utils/settings-selectors.ts; src/stores/settings-store.ts; src/utils/storage.ts","AUI-015","将 normalizeSettings 及 getSiteTheme/getSitePageWidth 等 selector 拆出；保持 storage 兼容导出。","不得改变迁移和补默认值逻辑；不得改变 previewSettings 与 persistedSettings 合成行为；不得改变站点设置优先级。","修改任意设置后面板和目标站点即时响应；主题预览和恢复设置正常。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build; pnpm build:userscript","修改站点主题、页面宽度、用户问题宽度、Zen Mode、Clean Mode、模型锁定；备份恢复旧设置样本。","normalize 和 selector 可独立维护；所有设置行为等价。","只拆 settings 工具；不改 UI。","如设置迁移或站点覆盖异常，恢复原 utils/storage 结构。"
"AUI-017","Phase 2 - Structure reduction","P2","为一个低风险核心模块试点 CoreModule 生命周期接口","第二阶段/9. 建立核心模块生命周期接口","refactor/core-lifecycle","src/core/modules-init.ts; one of src/core/model-locker.ts or src/core/scroll-lock-manager.ts","AUI-006; AUI-007","定义 CoreModule 接口并选择一个低风险模块试点 start/update/stop；modules-init 仍兼容旧模块。","不得一次性迁移全部模块；不得改变模块初始化顺序；不得改变设置热更新结果。","试点模块相关 UI 开关和状态提示必须保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","按试点模块选择验证：模型锁定开关/重锁定，或滚动锁定开关/提示/页面滚动行为。","生命周期接口可用；旧模块不受影响；试点模块行为等价。","只迁移一个模块；不碰适配器。","如试点模块异常，恢复该模块原 init/update 调用方式。"
"AUI-018","Phase 3 - Long-term architecture","P2","选择一个小站点试点 adapter capability","第三阶段/10. 将适配器改为基础适配器 + capability","refactor/adapter","src/adapters/base.ts; one small adapter such as src/adapters/ima.ts; src/core/* consuming capability","AUI-017","先定义一个最小 capability，例如 ConversationListCapability 或 LayoutCapability，并在一个小站点试点。","不得改所有站点；不得删除 SiteAdapter 现有方法；不得改变站点 match 和注册顺序。","试点站点面板、大纲、会话、设置开关表现保持一致；其它站点不应产生 diff 行为。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build; pnpm build:userscript","试点站点：插入 Prompt、切换会话、打开面板、导出或大纲按 capability 范围验证；其它主站点做最小打开面板冒烟。","capability 可被核心模块安全识别；未实现 capability 的站点行为不变。","只试点一个 capability + 一个站点；不做全量迁移。","如站点能力识别异常，保留类型定义但恢复核心调用到旧方法，或整体 revert。"
"AUI-019","Phase 3 - Long-term architecture","P2","建立轮询任务注册表","第三阶段/11. 统一轮询和 observer 预算","perf/core-lifecycle","src/core/polling-task-registry.ts; selected polling module","AUI-017","新增 PollingTaskRegistry，并选择一个低风险轮询迁入；记录名称、间隔、启动条件、停止条件和 hidden 行为。","不得一次性迁移所有 setInterval；不得改变轮询间隔和触发语义，除非该 PR 明确验证。","迁入模块相关状态更新频率和 UI 提示不能变慢到用户可感知。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","按迁入模块验证：Mermaid 渲染、复制增强、队列、usage counter 或 tab 状态；切换页面 hidden/visible。","轮询可集中 start/stop；页面隐藏策略明确；原功能等价。","只迁入一个轮询任务。","如更新丢失或频率异常，恢复该模块原 setInterval。"
"AUI-020","Phase 3 - Long-term architecture","P2","为 window.__ophel* 增加全局类型声明","第三阶段/12. 渐进提升 TypeScript 约束","refactor/types","src/types/global.d.ts; src/contents/*.ts; src/hooks/useShortcuts.ts","AUI-000","声明当前使用的 window.__ophel* 字段，减少 main world/content script 中的 window as any。","只补类型；不得改变注入脚本运行时字段名和值；不得改变跨 world 消息协议。","快捷键、滚动锁定、水印处理等依赖全局标记的功能保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开页面确认 content script 不重复初始化；快捷键定位大纲/会话；滚动锁定开关。","相关 any 数量下降；运行时行为无变化。","只补 global 类型和局部类型替换。","如类型声明影响编译，恢复具体文件的局部 any。"
"AUI-021","Phase 3 - Long-term architecture","P2","为 background messaging 建立 request/response 类型映射","第三阶段/12. 渐进提升 TypeScript 约束","refactor/types","src/utils/messaging.ts; src/background.ts; message callers","AUI-020","为现有消息常量建立类型映射，逐步替换 Promise<any>；先覆盖 2 到 3 个高频消息。","不得改变消息 type 字符串、payload 结构、background 处理流程；不得一次性迁移所有消息。","通知、WebDAV、Claude Session Key、全局 URL 打开等调用方 UI 提示保持一致。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","按覆盖消息验证对应功能；错误场景仍显示原有错误提示。","覆盖消息调用获得明确 response 类型；未覆盖消息行为不变。","每个 PR 覆盖少量消息；不改协议。","如消息类型影响调用，恢复该消息到旧 sendToBackground 泛型。"
"AUI-022","Phase 2 - UI/Interaction","P2","为拖拽排序提供非鼠标替代路径设计与首个实现","UI 与交互专项建议/拖拽排序的非鼠标替代","ui/accessibility","src/components/MainPanel.tsx or src/components/PromptsTab.tsx; related CSS","AUI-004 or AUI-014","先选择面板 tab 或 Prompt 列表之一，提供上移/下移或移到顶部/底部操作；其它拖拽区域后续跟进。","不得移除现有拖拽；不得改变排序持久化格式；不得改变默认 tab/prompt 顺序。","新增操作入口不能增加视觉噪音；小宽度面板下不挤压主要内容；键盘焦点顺序清晰。","pnpm format:check; pnpm lint:check; pnpm typecheck","鼠标拖拽排序仍可用；键盘或菜单排序可用；刷新后顺序持久化；浅深主题检查新增入口。","至少一个排序场景可不用鼠标完成；原拖拽功能无回归。","只实现一个场景；不全量铺开。","如新增入口造成布局或排序 bug，隐藏入口并保留原拖拽。"
